pmcid,sentence,ner
PMC6833180,"Here, we propose that the inflammasome signaling pathway is a key T cell independent mechanism of myeloid-mediated tumor growth.","[(66, 72, 'T cell', 'CL')]"
PMC6833180,"In addition, we have found that circulating T cells in tumor bearing inflammasome knockout mice have higher expression levels of the checkpoint molecule PD-1.","[(44, 50, 'T cell', 'CL')]"
PMC6833180,A hallmark of GBM microenvironment is the massive infiltration of bone marrow-derived tumor-associated myeloid cells (TAMCs) and regulatory T-cells (Tregs) [3-7].,"[(103, 115, 'myeloid cell', 'CL')]"
PMC6833180,"Recent studies in our laboratory where tumor-infiltrating myeloid cells were specifically depleted using antibody-targeting drug delivery via nanoparticles in preclinical settings, pointed out to the almost total dependency of Tregs and Bregs on TAMCs to maintain their cellular abundance and immunosuppressive functions.","[(58, 70, 'myeloid cell', 'CL')]"
PMC6833180,Microvesicle uptake by lymphocytes was assessed by flow cytometry using fluorescent lipophilic dye.,"[(23, 33, 'lymphocyte', 'CL')]"
PMC6833180,An increase in CD4+CD25+FOXP3+ regulatory T cells in tumor-infiltrating lymphocytes of human glioblastoma multiforme.,"[(72, 82, 'lymphocyte', 'CL'), (31, 48, 'regulatory T cell', 'CL')]"
PMC6833180,Prolongation of survival following depletion of CD4+CD25+ regulatory T cells in mice with experimental brain tumors.,"[(58, 75, 'regulatory T cell', 'CL')]"
PMC6833180,"Among the various immune cells recruited to the tumor microenvironment (TME), tumor-associated macrophages (TAMs) are particularly abundant and play a central role at all stages of cancer progression.","[(95, 105, 'macrophage', 'CL')]"
PMC6833180,"Alternatively, activated M2 macrophages induce Th2 cells and enhance cancer progression and metastasis.","[(28, 38, 'macrophage', 'CL')]"
PMC6833180,"Until now, the most commonly used marker to identify human macrophages was the pan-macrophage marker CD68.","[(59, 69, 'macrophage', 'CL')]"
PMC6833180,The latter overlooks the prognostic potential of macrophage subsets with different functions in the TME.,"[(49, 59, 'macrophage', 'CL')]"
PMC6833180,"Unlike other competitive antagonist antibodies to SIRPα, which require combination with opsonizing antibodies to promote tumor cell phagocytosis, AL008 stimulates tumor cell engulfment by macrophages in the absence of opsonizing antibody due to intrinsic FcγR activation.","[(188, 198, 'macrophage', 'CL')]"
PMC6833180,"Because of its restricted binding specificity towards SIRPα, AL008 promotes dendritic cell-mediated stimulation of T cell proliferation, which contrasts with anti-CD47 antibodies and other anti-SIRPα/γ cross-reactive antibodies.","[(115, 121, 'T cell', 'CL')]"
PMC6833180,"Despite FcγR engagement by AL008, in vitro ADCC assays and in vivo studies in non-human primates verify that AL008 does not deplete myeloid cells or RBCs, which anticipates a significantly improved safety profile in patients.","[(132, 144, 'myeloid cell', 'CL')]"
PMC6833180,"AL008 potentiates the anti-tumor effector functions of macrophages and dendritic cells in vitro, as well as in vivo models.","[(55, 65, 'macrophage', 'CL')]"
PMC6833180,"This dual mechanism of AL008, which couples the reversal of inhibitory signal with immunostimulation, provides a novel therapeutic strategy for targeting myeloid cells for immune activation.","[(154, 166, 'myeloid cell', 'CL')]"
PMC6833180,Expression of VSIG4 on macrophages renders them less responsive to LPS.,"[(23, 33, 'macrophage', 'CL')]"
PMC6833180,"In addition, VSIG4 promotes immune tolerance by attenuating early T cell activation and supporting the induction and maintenance of Foxp3 in T cells.","[(66, 72, 'T cell', 'CL')]"
PMC6833180,Expression of VSIG4 on tumor-infiltrating macrophages suggests that it may be implicated in immune evasion.,"[(42, 52, 'macrophage', 'CL')]"
PMC6833180,Further comparative analysis of the two LPM populations using a panel of macrophage specific antibodies revealed that VSIG4+ and VSIG4- LPM show a similar pattern of expression that is distinct from Small Peritoneal Macrophages (SPM).,"[(73, 83, 'macrophage', 'CL')]"
PMC6833180,"While IL-17A is a signature cytokine of CD4+ T helper cells (Th17 cells), IL-17A is also produced by other cell types, including CD8+ T cells and type 3 innate lymphoid cells (ILC3s) in the mucosal surfaces.","[(134, 140, 'T cell', 'CL')]"
PMC6833180,"Furthermore, these CD3-IL-17+ cells are negatively stained for SMA, CD11b and CD19, suggesting that they are unlikely to be fibroblast, myeloid cells or B cells.","[(124, 134, 'fibroblast', 'CL')]"
PMC6833180,"Major cell type clusters (immune, epithelial, fibroblast and endothelial cells) were identified.","[(46, 56, 'fibroblast', 'CL')]"
PMC6833180,"While LGALS9/galectin-9 levels were expressed highly on tumor-associated macrophages (TAMs) from both inflamed and non-inflamed tumors, CD274/PD-L1 was only upregulated on TAMs from inflamed lesions.","[(73, 83, 'macrophage', 'CL')]"
PMC6833180,"By modeling receptor-ligand interactions between CD8+ T cells and the rest of the major TME cell types, CD8+ T cells were predicted to form more ICR-ICL interactions with TAMs than with any other cell type.","[(54, 60, 'T cell', 'CL')]"
PMC6833180,"Specifically, the accumulation of CD103+ tumor infiltrating lymphocytes (TILRM) is associated with favorable prognosis [1,2].","[(60, 70, 'lymphocyte', 'CL')]"
PMC6833180,"Several retrospective, single-center studies have shown infectious complications with haploidentical hematopoietic cell transplantation (haploHCT) but no data correlating infections with CRS that develops after haploHCT is available.","[(101, 119, 'hematopoietic cell', 'CL')]"
PMC6833180,The incidence of infections was examined in two separate time periods in relation to the day of stem cell infusion (day 0): day 0-100 and day 101-180.,"[(96, 105, 'stem cell', 'CL')]"
PMC6833180,Evaluation of infectious complications after haploidentical hematopoietic stem cell transplantation with post-transplant cyclophosphamide following reduced-intensity and myeloablative conditioning: a study on behalf of the Francophone Society of Stem Cell Transplantation and Cellular Therapy (SFGM-TC).,"[(60, 83, 'hematopoietic stem cell', 'CL')]"
PMC6833180,Cancer vaccination can be used to promote anti-tumor T cell responses in patients lacking such immunity.,"[(53, 59, 'T cell', 'CL')]"
PMC6833180,Cryopreserved patient and healthy donor monocytes were also examined in functional assays.,"[(40, 48, 'monocyte', 'CL')]"
PMC6833180,Patient (matured and adenovirally-transduced) monocyte-derived DC expressed reduced levels of cell surface ICOSL (a costimulatory molecule) vs.,"[(46, 54, 'monocyte', 'CL')]"
PMC6833180,ICOSL surface protein showed a positive trend with the ability of adenovirally-transduced DC to elicit specific CD8+ T cell responses in vitro to Tyrosinase and MART-1.,"[(117, 123, 'T cell', 'CL')]"
PMC6833180,"Using a CMV p65 antigen-based model, we observed reduced activation of naïve, CMV-specific CD8+ and CD4+ T cells in seronegative donors when primed using antigen-loaded autologous DC treated with anti-ICOSL antibody vs.","[(105, 111, 'T cell', 'CL')]"
PMC6833180,DC-expressed ICOSL appears important for specific T cell priming and is at least partially regulated by intrinsic canonical NFĸB signaling pathway.,"[(50, 56, 'T cell', 'CL')]"
PMC6833180,"The system of eMDSCs induction was established, in which bone marrow cells were cocultured with 4T1 cells to induce eMDSCs in vitro.","[(57, 73, 'bone marrow cell', 'CL'), (96, 99, '4T1', 'CLine')]"
PMC6833180,"We identified a subpopulation of CD11b+Gr-1-F4/80-MHCII- eMDSCs in situ in IL-6 knockdown 4T1 mammary tumor-bearing mice models, which displayed more potent suppression on T cell immunity than conventional CD11b+Gr-1+ MDSCs.","[(44, 49, 'F4/80', 'CLine'), (172, 178, 'T cell', 'CL'), (90, 93, '4T1', 'CLine')]"
PMC6833180,Relative binding of ABP150 to CLDN18.2 positive tumors and CD3 expressing Jurkat-T cell line was performed using flow cytometry.,"[(81, 87, 'T cell', 'CL'), (74, 80, 'Jurkat', 'CLine')]"
PMC6833180,"THOR-1003 and THOR-1009 have been selected for further testing, focusing on the release of IFN and cytolytic enzymes from primary human CD8+ T cells, following stimulation with antigen-presenting cells displaying a CMV peptide epitope.","[(141, 147, 'T cell', 'CL')]"
PMC6833180,90-100% of peripheral CD8+ T cells were positive for both pSTAT5 and Ki67 after a single IV dose of 0.3 mg/kg.,"[(27, 33, 'T cell', 'CL')]"
PMC6833180,"capillary leak syndrome), unfavourable pharmacokinetic and bio-distribution in the lymphatic system rather than in the tumour, and the detrimental activation/expansion of regulatory T cells (Tregs) through IL2Ra (CD25) binding.","[(171, 188, 'regulatory T cell', 'CL')]"
PMC6833180,"The anti-PD-1 antibody, having roughly 50-fold higher affinity than IL-2v, dictates the preferential cis-delivery of IL-2v to PD-1 positive T cells, such as antigen-experienced tumour-reactive T cells.","[(140, 146, 'T cell', 'CL')]"
PMC6833180,"In addition, the blocking of the PD-1 inhibitory pathway synergizes with the IL-2 signalling cascade translating into more potent T cell activation and effector functions than untargeted IL-2v.","[(130, 136, 'T cell', 'CL')]"
PMC6833180,"Due to reduced expression levels of PD-1 on Tregs compared to tumour-reactive T cells, PD1-IL2v binds preferentially to the latter rescuing them from Treg-mediated suppression.","[(78, 84, 'T cell', 'CL')]"
PMC6833180,"Treatment with recombinant human IL7 preferentially expands recent thymic emigrants, naive and central memory T cells, but spares regulatory T cells.","[(130, 147, 'regulatory T cell', 'CL')]"
PMC6833180,IL7 receptor (IL7R) binding and internalization were evaluated in human primary CD4+ T cells by flow cytometry (FACS).,"[(85, 91, 'T cell', 'CL')]"
PMC6833180,IL7 potency was evaluated by p-STAT5 signaling assay and human CD4+ T cell proliferation assay.,"[(68, 74, 'T cell', 'CL')]"
PMC6833180,The in vitro synergistic effect of L1I7 was evaluated in the human mixed lymphocyte reaction (MLR) assay.,"[(73, 83, 'lymphocyte', 'CL')]"
PMC6833180,Absolute numbers of tumor-infiltrating CD4+ T and CD8+ T cells were analyzed by FACS.,"[(55, 61, 'T cell', 'CL')]"
PMC6833180,Both wildtype and the attenuated variants were more effective in promoting CD4 T cell activation than anti-PDL1 or IL7 monotreatment in MLR.,"[(79, 85, 'T cell', 'CL')]"
PMC6833180,MK1169 induces pSTAT5 in human lymphocyte subpopulations with potency bias similar to that of IL-2 variants that are attenuated in Rα binding.,"[(31, 41, 'lymphocyte', 'CL')]"
PMC6833180,"Interleukin-2 (IL2) is known to support effector T cell differentiation, proliferation and survival.","[(49, 55, 'T cell', 'CL')]"
PMC6833180,A particular challenge of IL2 for cancer treatment is the preferential stimulation of regulatory T cells (Tregs) constitutively expressing the high-affinity IL2 receptor alpha chain (CD25).,"[(86, 103, 'regulatory T cell', 'CL')]"
PMC6833180,Tregs can undermine the antitumoral activity of tumor-specific effector T cells only transiently expressing CD25.,"[(72, 78, 'T cell', 'CL')]"
PMC6833180,"Prompted by their complementary effects, we investigated the potential synergy between these two cytokines on the T cell level and on antitumoral activity.","[(114, 120, 'T cell', 'CL')]"
PMC6833180,"Using nanoparticle formulated, nucleoside-modified RNA coding for extended half-life IL2 and IL7, we demonstrated that IL2 and IL7 each increases the number and frequency of antigen-specific CD8+ T cells in combination with an antigen-specific RNA vaccine compared to the vaccine alone.","[(196, 202, 'T cell', 'CL')]"
PMC6833180,"While the effect on expansion of antigen-specific T cells of IL2 is strong and immediate, IL7 requires repetitive cycles to generate its maximal effect.","[(50, 56, 'T cell', 'CL')]"
PMC6833180,"In addition, IL7 turned out to expand CD8+ T cells with specificities for targets other than the vaccine-encoded antigen better than IL2.","[(43, 49, 'T cell', 'CL')]"
PMC6833180,"The combination of IL2 with IL7 proved to be powerful in overcoming their individual shortcomings: The combination boosted the number of antigen-specific CD8+ T cells beyond the levels of IL2 alone, supported the expansion of CD8+ T cells not specific for the vaccine-encoded target, and further improved the ratio of antigen-specific CD8+ T cells over Tregs.","[(159, 165, 'T cell', 'CL')]"
PMC6833180,Each of the cytokines dose-dependently induced proliferation of both NK cells and T cells; the EC50 value of NKTR-255 was approximately 20-fold higher than the EC50 values of both rhIL-15 and IL-15 superagonist.,"[(82, 88, 'T cell', 'CL')]"
PMC6833180,"However, this form of the receptor complex is widely expressed on peripheral naïve T cells as well as memory T cells and NK cells, potentially leading to unproductive stimulation of irrelevant cell populations and an increased possibility of systemic toxicity.","[(83, 89, 'T cell', 'CL')]"
PMC6833180,We hypothesised that reduced binding to circulating cells may improve targeting to PD-L1+ cells in the tumour or lymphoid tissues while also targeting IL-2 to antigen-experienced T cells that express CD25 in the tumour microenvironment.,"[(179, 185, 'T cell', 'CL'), (40, 56, 'circulating cell', 'CL')]"
PMC6833180,"Tumour reactive HLA-A2+ CD4+ and CD8+ T cells were generated by co-culture with growth-arrested A375 cells, supplemented with IL-2 and IL-7.","[(38, 44, 'T cell', 'CL')]"
PMC6833180,"After 20 days, these tumour-directed T cells were cultured with fresh tumour cells in the presence of either KY1043, a non-targeted immunocytokine or the parental anti-PD-L1 antibody.","[(37, 43, 'T cell', 'CL')]"
PMC6833180,KY1043 induces potent T cell activation and can direct highly effective tumour killing in vitro and in vivo.,"[(22, 28, 'T cell', 'CL')]"
PMC6833180,"Furthermore, a particular challenge of IL2 for cancer treatment is the preferential stimulation of immunosuppressive regulatory T cells (Tregs), which can dampen anti-tumor immune responses and may counteract the beneficial effects of activated effector T cells.","[(117, 134, 'regulatory T cell', 'CL')]"
PMC6833180,"Activation and proliferation of human, cynomolgus or mouse T cells was characterized in vitro.","[(59, 65, 'T cell', 'CL')]"
PMC6833180,"Characterization of the IL2 variant in vitro validated potent proliferation of CD8+ T cells, NK cells and a reduced Treg bias.","[(84, 90, 'T cell', 'CL')]"
PMC6833180,The IL2 variant mediated a substantial increase in murine CD8+ effector T cells and NK cell while Treg expansion was hardly detected in vivo.,"[(72, 78, 'T cell', 'CL')]"
PMC6833180,"In syngeneic tumor-bearing mice, a spontaneous expansion of cancer (neo-epitope) specific T cells and a strong increase of the CD8+ T cell to Treg ratio translated into potent tumor control.","[(90, 96, 'T cell', 'CL')]"
PMC6833180,"Kamimura D, Bevan MJ: Naive CD8+ T cells differentiate into protective memory-like cells after IL-2 anti IL-2 complex treatment in vivo.","[(33, 39, 'T cell', 'CL')]"
PMC6833180,"Recombinant human interleukin-2 (IL-2) promotes the proliferation of activated T cells and has long been used in vivo to stimulate and maintain the growth of effector T cells and increasingly, to expand T cells in vitro (including genetically engineered CAR-T cells) for adoptive cell therapy in patients with cancer.","[(79, 85, 'T cell', 'CL')]"
PMC6833180,"There are opportunities to leverage this IL-2 to treat patients suffering from acute and chronic graft versus host disease (GVHD) following allogeneic hematopoietic stem cell transplantation, as well as a range of other autoimmune diseases.","[(151, 174, 'hematopoietic stem cell', 'CL')]"
PMC6833180,Different markers were checked after stimulation with Akron IL-2 or Proleukin® (15 minutes) and verified with lymphocyte subset and intrinsic signaling cascade.,"[(110, 120, 'lymphocyte', 'CL')]"
PMC6833180,"The research focused on three major T cell subset populations (Treg, Tcon and CD8 T cells).","[(36, 42, 'T cell', 'CL')]"
PMC6833180,"Upon stimulation with Akron IL-2 and Proleukin®, CD25, CD122, CD132, CTLA-4, PD-1, PD-L1 markers were checked for individual T cell subsets, observed via t-SNE plot.","[(125, 131, 'T cell', 'CL')]"
PMC6833180,"Therefore, using in-vitro assay systems, we checked the status of CD8+ T cells treated with the HDAC inhibitor.","[(71, 77, 'T cell', 'CL')]"
PMC6833180,"McCaw, T.R., et al., Manipulating the epigenetic framework of T cells with histone deacetylase inhibitors for more robust and durable anti-tumor responses.","[(62, 68, 'T cell', 'CL')]"
PMC6833180,"Additionally, primary cultures of murine T cells and DCs and the (BRAFV600E PTEN-/-) BPR melanoma cell line were treated in vitro with VN agents.","[(41, 47, 'T cell', 'CL')]"
PMC6833180,"However, while treatment with Aduro was able to enhance T cell activation, treatment with Dasatinib inhibited T cell activation, as measured by CD25 and CD69 expression.","[(56, 62, 'T cell', 'CL')]"
PMC6833180,"When these changes are evaluated on specific cell types, some agents were found to increase DC and T cell activation, while others have an inhibitory effect.","[(99, 105, 'T cell', 'CL')]"
PMC6833180,"During the process, the expression of exhaustion, memory and effector T cells markers were analyzed by flow cytometry.","[(70, 76, 'T cell', 'CL')]"
PMC6833180,Selective in vivo depletion of CD4 and CD8 T cells indicated that the activity of ITF3756 strictly depends on both T cell subsets with a greater contribution of CD8 T cells.,"[(43, 49, 'T cell', 'CL')]"
PMC6833180,"In a model of in vitro human T cell exhaustion, ITF3756 countered the exhaustion process as evidenced by the reduced expression of PD-1 and Lag3.","[(29, 35, 'T cell', 'CL')]"
PMC6833180,scL-RB94 altered polarization of macrophages toward the M1 phenotype (Figure 5).,"[(33, 43, 'macrophage', 'CL')]"
PMC6833180,"In the mouse model, trametinib increases T cell viability and restores T cell proliferation.","[(41, 47, 'T cell', 'CL')]"
PMC6833180,"Previous work in other cancers have demonstrated benefits of using MEK inhibition in combination with immunotherapies, including checkpoint inhibitors, adoptive T cell therapy, and viral therapy.","[(161, 167, 'T cell', 'CL')]"
PMC6833180,"Consistent with the hypothesis, in a syngeneic mouse model, BPM31510 increased cytotoxic T cell frequency and cytotoxic T cell/regulatory T cell ratio in tumors.","[(127, 144, 'regulatory T cell', 'CL')]"
PMC6833180,"Proliferation measurements by EdU-incorporation indicated enhanced cytotoxic T cell proliferation, and likewise, BPM31510 increased cytolytic potential of activated cytotoxic T cells, as indicated by measurement of plasma membrane-exposed lysosomal-associated membrane protein 1 (CD107a).","[(77, 83, 'T cell', 'CL')]"
PMC6833180,"Analysis of monocyte depleted PBMCs compared to monocytes alone demonstrated that the observed changes in IL-2 and IFN-γ secretion occur only when both lymphocytes and monocytes are present; however, monocytes alone were identified as the significant source for IL-10.","[(12, 20, 'monocyte', 'CL'), (152, 162, 'lymphocyte', 'CL')]"
PMC6833180,"Collectively, the results identify and characterize immune-modulatory activity of BPM31510, particularly in the T cell compartment, specifically on the regulation of T cell exhaustion and immunosuppression in supporting an anti-cancer effect.","[(112, 118, 'T cell', 'CL')]"
PMC6833180,"Serial FFPE sections were stained by H&E or OPAL, using two 7-plex panels to describe the density and tissue location of T cells (CD8+, CD4+ and CD4+ FoxP3+), B cells, macrophages, dendritic cells, PDL1+ and HMWCK+ cells.","[(168, 178, 'macrophage', 'CL'), (121, 127, 'T cell', 'CL'), (159, 165, 'B cell', 'CL')]"
PMC6833180,We observed a significant increase post-HDRBT in CD4+FoxP3+ T cells and PDL1- macrophages in both the tumor and tumor stroma (Figure 1).,"[(78, 88, 'macrophage', 'CL'), (60, 66, 'T cell', 'CL')]"
PMC6833180,"At low doses, CiRT was lymphocyte sparing effect compared to PhRT.","[(23, 33, 'lymphocyte', 'CL')]"
PMC6833180,"We demonstrate that at low doses, lymphocytes differ in their sensitivity to CiRT compared to PhRT -- CiRT being more lymphocyte-sparing.","[(34, 44, 'lymphocyte', 'CL')]"
PMC6833180,"[1,2] In particular, these integrins stabilize receptor-mediated cell adhesion between Antigen Presenting Cells and naïve CD4+ T cells, providing a co-stimulatory signal required for effective antigen presentation.","[(127, 133, 'T cell', 'CL')]"
PMC6833180,"cruzi TcG2/TcG4 vaccines, 7HP349 significantly decreased parasite burden in myocardial (~9.5-fold) and skeletal muscle (~5.3-fold) in challenged mice and increased splenic frequency of polyfunctional CD4+ and CD8+ T cells expressing IFN-gamma, perforin or granzyme B.","[(214, 220, 'T cell', 'CL')]"
PMC6833180,Monoclonal antibody to a novel lymphocyte function-associated antigen (LFA-1): mechanism of blockade of T lymphocyte-mediated killing and effects on other T and B lymphocyte functions.,"[(31, 41, 'lymphocyte', 'CL')]"
PMC6833180,Costimulation of proliferative responses of resting CD4+ T cells by the interaction of VLA-4 and VLA-5 with fibronectin or VLA-6 with laminin.,"[(57, 63, 'T cell', 'CL')]"
PMC6833180,Mice were injected subcutaneously with the syngeneic colon carcinoma cell line CT26 or the B cell lymphoma cell line A20 and established tumors were treated intratumorally with CV8102 alone or in combination with systemic anti-PD-1 antibodies.,"[(91, 97, 'B cell', 'CL'), (79, 83, 'CT26', 'CLine'), (117, 120, 'A20', 'CLine')]"
PMC6833180,"On the cellular level, intratumoral CV8102 monotherapy caused an increase in numbers and activation of innate immune cells like monocytes, neutrophils and NK cells within tumors and draining lymph nodes.","[(128, 136, 'monocyte', 'CL'), (139, 149, 'neutrophil', 'CL')]"
PMC6833180,"Besides further enhancement of innate immunity, combination therapy synergistically enabled activation of the adaptive immune system and led to the infiltration of CD8+ T cells into the tumor microenvironment.","[(169, 175, 'T cell', 'CL')]"
PMC6833180,"To measure proliferation, PBMC were labelled with Cell TraceTM and T cells were gated using multicolor flow cytometry.","[(67, 73, 'T cell', 'CL')]"
PMC6833180,"ALG.APV-527 enhanced CD8+ T cell and NK function and proliferation, preferentially over that of CD4+ T cells.","[(26, 32, 'T cell', 'CL')]"
PMC6833180,"ALG.APV-527 induces 5T4-dependent CD8+ T cell and NK co-stimulation, and has potent anti-tumor activity in a therapeutic model.","[(39, 45, 'T cell', 'CL')]"
PMC6833180,"We investigated the effects of redirecting pre-existing mCMV-specific T cells by repeated intratumoral injection using minimal MHC class I and/or class II restricted mCMV peptide epitopes combined with polyI:C, a Toll-like receptor 3 and RIG-I-like receptor agonist.","[(70, 76, 'T cell', 'CL')]"
PMC6833180,Intratumoral injection of mCMV MHC-I and MHC-II restricted peptides led to the expansion of CD8 and CD4 mCMV-specific T cells in situ and in blood.,"[(118, 124, 'T cell', 'CL')]"
PMC6833180,We are now using our model to decipher the contribution of CD4+ T cell to epitope spreading against tumor-derived epitopes and to evaluate this approach in spontaneous tumor models.,"[(64, 70, 'T cell', 'CL')]"
PMC6833180,"Rich in tumor-associated antigens and antigen-presenting cells, the tumor microenvironment is an apt locale for reprogramming the immune responses from a suppressive phenotype to one that is activating insofar anti-tumor cytotoxic T cell responses can be generated locally and systemically.","[(231, 237, 'T cell', 'CL')]"
PMC6833180,"PLGA nanoparticles modified with a TNFα mimicking peptide, soluble Leishmania antigens and MPLA induce T cell priming in vitro via dendritic cell functional differentiation.","[(103, 109, 'T cell', 'CL')]"
PMC6833180,Our data provide a novel strategy to reprogram CD8 cells into a self-regenerating stem cell phenotype with higher metabolic fitness and superior effector functions.,"[(82, 91, 'stem cell', 'CL')]"
PMC6833180,"Talimogene laherparepvec (T-VEC) is an oncolytic herpes simplex virus, type 1 (HSV-1) encoding granulocyte-macrophage colony stimulating factor (GM-CSF) and is approved for the treatment of melanoma.","[(107, 117, 'macrophage', 'CL')]"
PMC6833180,Therapeutic responses were associated with recruitment of viral- and tumor antigen-specific CD8+ T cells and induction of a pro-inflammatory gene signature in both injected and un-injected tumors.,"[(97, 103, 'T cell', 'CL')]"
PMC6833180,"Seven days after one intratumoral treatment of oncolytic vaccinia (vv) in a murine head and neck squamous cell carcinoma model we observed an influx of CD8 T cells into the tumor, including a large population of effector-memory like PD-1int cells.","[(156, 162, 'T cell', 'CL')]"
PMC6833180,"However, the suppressive PD-1hi Tim-3+ exhausted T cells (Texh) and Foxp3+ regulatory T cells (Treg) were missing.","[(75, 92, 'regulatory T cell', 'CL'), (49, 55, 'T cell', 'CL')]"
PMC6833180,Infection and flow cytometric analyses of T cell populations were performed using both in vitro and in vivo modeling systems.,"[(42, 48, 'T cell', 'CL')]"
PMC6833180,"This study aimed to investigate the therapeutic potential for the interaction between circulating myeloid cells, oncolytic vaccinia virus (OVV), and cancer cells; and to optimize the treatment outcomes of OTS-400 (OVV series with modified HSV-tk insertion).","[(98, 110, 'myeloid cell', 'CL')]"
PMC6833180,"After identification of subtypes of OV-disfavoring myeloid cells (OV-DMCs), candidate chemicals, including clinically used drugs, were screened to find the best modulators for OV-DMCs affecting clinical outcome of OTS-400 series in >3,000 tumor-bearing animals.","[(51, 63, 'myeloid cell', 'CL')]"
PMC6833180,"tumors, luciferase-expressing ovalbumin-specific (OT-I/Luc) T cells within the tumor were monitored via bioluminescence imaging.","[(60, 66, 'T cell', 'CL')]"
PMC6833180,"The virus treatment increased the presence of T cells and the frequency of effector T cells in the virus-injected tumor and mediated the same changes in T cells from peripheral blood, tumor-draining lymph nodes (TDLNs), spleens, and brain hemispheres with untreated tumor.","[(46, 52, 'T cell', 'CL')]"
PMC6833180,"Moreover, Delta-24-RGDOX decreased the frequency of exhausted T cells and regulatory T cells in the virus-injected and untreated i.c.","[(62, 68, 'T cell', 'CL'), (74, 91, 'regulatory T cell', 'CL')]"
PMC6833180,"Consequently, the virus promoted the in situ expansion of tumor-specific T cells and their migration to tumors expressing the target antigen.","[(73, 79, 'T cell', 'CL')]"
PMC6833180,"It proved as active as CTLA-4, as an inhibitor for lymphocyte activation in a MLR assay.","[(51, 61, 'lymphocyte', 'CL')]"
PMC6833180,"In addition, SRF617 elevates ATP levels systemically in treated mice and increases tumor macrophage infiltration in MOLP-8 xenograft tumors.","[(89, 99, 'macrophage', 'CL')]"
PMC6833180,CD39/ENTPD1 expression by CD4+Foxp3+ regulatory T cells promotes hepatic metastatic tumor growth in mice.,"[(37, 54, 'regulatory T cell', 'CL')]"
PMC6833180,"4-1BB (CD137) is expressed on various cell populations including T cells, dendritic cells and macrophages.","[(65, 71, 'T cell', 'CL')]"
PMC6833180,Transcriptomic profiling by Nanostring IO 360 pan cancer panel in the non-responders and responders to immunotherapy corroborated our findings and detected important genes of the myeloid and lymphoid compartment especially macrophages and CD8+ T cells respectively,"[(223, 233, 'macrophage', 'CL')]"
PMC6833180,"BiTEs) which bind and activate all T cells, TTS only bind and activate subsets of T cells that contain certain TCR β variable (TRBV) regions, e.g.","[(35, 41, 'T cell', 'CL')]"
PMC6833180,"Naptumomab Estafenatox induces T cell recognition, turning anti-PD-1 unresponsive ""cold"" tumors into ""hot"" responsive tumors.","[(31, 37, 'T cell', 'CL')]"
PMC6833180,Immuno-NPs carrying both STING/TLR4 agonists mediated a robust synergistic production of IFNβ from macrophages that was 10-fold increased from NPs carrying either agonist alone (Fig.,"[(99, 109, 'macrophage', 'CL'), (31, 35, 'TLR4', 'CLine')]"
PMC6833180,"Tumor-bearing mice treated with immuno-NPs had elevated levels of tumor dendritic cells (DCs), macrophages, and natural killer (NK) cells, compared to controls that included mice treated with clinically-approved immune checkpoint inhibitors anti-PD1 and anti-CTLA4 (Fig.","[(95, 105, 'macrophage', 'CL')]"
PMC6833180,"In contrast, overstimulation of the STING pathway with high-doses of ADU-S100 or more potent STING agonists failed to induce tumor-specific CD8 T cells and caused disruption of tumor draining lymph nodes.","[(144, 150, 'T cell', 'CL')]"
PMC6833180,Blocking tumor necrosis factor-alpha (TNF-alpha) signaling restored induction of tumor-specific CD8 T cells during overstimulation of STING and preserved lymph node integrity.,"[(100, 106, 'T cell', 'CL')]"
PMC6833180,"These data demonstrate that the induction of anti-tumor CD8 T cells is inhibited by TNF-alpha during overstimulation of the STING pathway, suggesting that intervention in TNF-alpha signaling may broaden the therapeutic window of STING agonists.","[(60, 66, 'T cell', 'CL')]"
PMC6833180,"Human macrophages (HMDM) and dendritic cells (HMDC) were differentiated from monocytes (obtained from PBMC) in the presence of GM-CSF and GM-CSF/IL-4 for HMDM and HMDC, respectively.","[(77, 85, 'monocyte', 'CL')]"
PMC6833180,In vitro repolarization of immuno-suppressive M2d macrophages into pro-inflammatory M1-like phenotype was demonstrated.,"[(50, 60, 'macrophage', 'CL')]"
PMC6833180,"Targeted activation of STING and the associated release of type I interferons can enhance the sensitivity of antigen presenting cells to neoantigens and promote their ability to prime T cell-based anti-cancer immune responses [1,2].","[(184, 190, 'T cell', 'CL')]"
PMC6833180,This can lead to the establishment of T cell inflamed tumor microenvironments that are more susceptible to the anti-tumor effects of checkpoint blockade therapy [3].,"[(38, 44, 'T cell', 'CL')]"
PMC6833180,The STING pathway and the T cell-inflamed tumor microenvironment.,"[(26, 32, 'T cell', 'CL')]"
PMC6833180,STING signaling leads to IFN-β production which is required for T cell priming through dendritic cells.,"[(64, 70, 'T cell', 'CL')]"
PMC6833180,In vitro experiments were performed using macrophages and bone marrow-derived dendritic cells stimulated with the STING agonist DMXAA alone or in combination with several TLR agonists.,"[(42, 52, 'macrophage', 'CL')]"
PMC6833180,"At higher doses CDNs induce local tissue damage due to non-selective uptake into cells at the injection site, including ablation of immune effector cells (CD8+ T cells and Antigen Presenting Cells [APC])[1].","[(160, 166, 'T cell', 'CL')]"
PMC6833180,ExoSTING™ was preferentially taken up by differentiated macrophages and dendritic cells.,"[(56, 66, 'macrophage', 'CL')]"
